date,gamePk,away_name,home_name,pick,pick_prob,grade,home_win_prob,elo_diff,outcome,result
2026-04-21,822914,Pittsburgh Pirates,Texas Rangers,Texas Rangers,0.5077,C,0.5077,29.01,HIT,1-5
2026-04-21,824690,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,0.5709,C,0.5709,55.07,HIT,4-7
2026-04-21,823148,Athletics,Seattle Mariners,Seattle Mariners,0.6352,B,0.6352,61.67,MISS,5-2
2026-04-21,824045,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,0.5518,C,0.4482,0.29,HIT,4-2
2026-04-21,824369,San Diego Padres,Colorado Rockies,San Diego Padres,0.5587,C,0.4413,32.86,HIT,1-0
2026-04-21,824127,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,0.5211,C,0.4789,31.05,MISS,5-6
2026-04-21,825099,Chicago White Sox,Arizona Diamondbacks,Arizona Diamondbacks,0.5158,C,0.5158,92.14,MISS,11-5
2026-04-21,824773,New York Yankees,Boston Red Sox,New York Yankees,0.5495,C,0.4505,6.46,HIT,4-0
2026-04-21,824290,Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers,0.548,C,0.452,26.09,HIT,12-4
2026-04-21,823880,St. Louis Cardinals,Miami Marlins,St. Louis Cardinals,0.5587,C,0.4413,-4.0,HIT,5-3
2026-04-21,822995,Cincinnati Reds,Tampa Bay Rays,Cincinnati Reds,0.5211,C,0.4789,26.22,HIT,12-6
2026-04-21,824448,Houston Astros,Cleveland Guardians,Houston Astros,0.5193,C,0.4807,46.73,MISS,5-8
2026-04-21,822747,Atlanta Braves,Washington Nationals,Atlanta Braves,0.6029,B,0.3971,-4.29,MISS,4-11
2026-04-21,823640,Minnesota Twins,New York Mets,New York Mets,0.621,B,0.621,52.32,MISS,5-3
2026-04-21,823236,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,0.5749,C,0.4251,11.65,MISS,1-3
2026-04-23,823233,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,0.5849,B,0.4151,11.65,PENDING,
2026-04-23,824770,New York Yankees,Boston Red Sox,New York Yankees,0.5506,C,0.4494,6.46,PENDING,
2026-04-23,823639,Minnesota Twins,New York Mets,New York Mets,0.6122,B,0.6122,52.31,PENDING,
2026-04-23,822745,Atlanta Braves,Washington Nationals,Atlanta Braves,0.595,B,0.405,-4.29,PENDING,
2026-04-23,824288,Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers,0.5303,C,0.4697,26.1,PENDING,
2026-04-23,824689,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,0.5091,C,0.5091,55.07,PENDING,
2026-04-23,824368,San Diego Padres,Colorado Rockies,San Diego Padres,0.5699,C,0.4301,32.86,PENDING,
2026-04-23,825096,Chicago White Sox,Arizona Diamondbacks,Arizona Diamondbacks,0.5159,C,0.5159,92.13,PENDING,
2026-04-23,822912,Pittsburgh Pirates,Texas Rangers,Pittsburgh Pirates,0.5181,C,0.4819,29.02,PENDING,
2026-04-22,823641,Minnesota Twins,New York Mets,New York Mets,0.6122,B,0.6122,52.32,HIT,2-3
2026-04-22,824774,New York Yankees,Boston Red Sox,New York Yankees,0.5506,C,0.4494,6.46,HIT,4-1
2026-04-22,824367,San Diego Padres,Colorado Rockies,San Diego Padres,0.5699,C,0.4301,32.86,MISS,3-8
2026-04-22,822913,Pittsburgh Pirates,Texas Rangers,Pittsburgh Pirates,0.5181,C,0.4819,29.01,HIT,8-4
2026-04-22,824688,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,0.5091,C,0.5091,55.07,HIT,2-7
2026-04-22,822748,Atlanta Braves,Washington Nationals,Atlanta Braves,0.595,B,0.405,-4.29,HIT,8-6
2026-04-22,825097,Chicago White Sox,Arizona Diamondbacks,Arizona Diamondbacks,0.5159,C,0.5159,92.14,HIT,7-11
2026-04-22,823147,Athletics,Seattle Mariners,Seattle Mariners,0.6257,B,0.6257,61.67,HIT,4-5
2026-04-22,824123,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,0.5119,C,0.4881,31.05,HIT,8-6
2026-04-22,822993,Cincinnati Reds,Tampa Bay Rays,Cincinnati Reds,0.5092,C,0.4908,26.22,MISS,1-6
2026-04-22,824449,Houston Astros,Cleveland Guardians,Houston Astros,0.5243,C,0.4757,46.73,HIT,2-0
2026-04-22,823878,St. Louis Cardinals,Miami Marlins,St. Louis Cardinals,0.5627,C,0.4373,-4.0,MISS,1-4
2026-04-22,824044,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,0.5627,C,0.4373,0.29,MISS,3-7
2026-04-22,824286,Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers,0.5303,C,0.4697,26.09,MISS,2-5
2026-04-22,823231,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,0.5849,B,0.4151,11.65,MISS,0-3
